Algorithm,Array Size,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Time (microseconds), Hue
Insertion Sort,10,0,0,0,0,0,0,0,0,0,0,0,UnOptimised
Insertion Sort Optimised,10,4,3,3,3,3,4,3,4,3,3,3.3,Optimised
Shell Sort,10,0,0,0,0,0,0,0,0,0,0,0,UnOptimised
Shell Sort Optimised ,10,0,0,0,0,0,0,0,0,0,0,0,Optimised
Rubix Sort,10,66,46,57,65,54,54,56,56,54,68,57.6,UnOptimised
Rubix Sort Optimised ,10,3,3,3,4,3,3,3,3,3,5,3.3,Optimised
Bitwise Optimised Rubix Sort,10,1,1,2,2,2,2,1,2,2,2,1.7,Optimised
Bitwise Optimised Vector Rubix Sort,10,1,2,2,2,2,1,2,2,2,2,1.8,Optimised
Quick Sort,10,0,0,0,0,0,0,0,0,0,0,0,UnOptimised
Quick Sort Optimised,10,0,0,0,0,0,0,0,0,0,0,0,Optimised
Bubble Sort,10,0,0,0,0,0,0,0,0,0,0,0,UnOptimised
Bubble Sort Optimised ,10,0,0,0,0,0,0,0,0,0,0,0,Optimised
Bubble Comb Sort Optimised,10,0,0,0,0,0,0,0,0,0,0,0,Optimised
Std Sort,10,1,0,1,1,1,0,0,1,1,1,0.7,Optimised
Insertion Sort,25,0,0,0,0,0,0,0,0,0,0,0,UnOptimised
Insertion Sort Optimised,25,3,3,3,2,3,2,2,3,3,2,2.6,Optimised
Shell Sort,25,0,0,0,0,0,0,0,0,0,0,0,UnOptimised
Shell Sort Optimised ,25,0,0,0,0,0,0,0,0,0,0,0,Optimised
Rubix Sort,25,55,69,68,55,68,55,55,69,84,56,63.4,UnOptimised
Rubix Sort Optimised ,25,4,5,5,4,4,4,4,5,5,4,4.4,Optimised
Bitwise Optimised Rubix Sort,25,3,4,4,3,3,3,3,4,4,3,3.4,Optimised
Bitwise Optimised Vector Rubix Sort,25,3,4,4,3,3,3,3,4,4,3,3.4,Optimised
Quick Sort,25,0,1,1,0,0,0,0,1,1,0,0.4,UnOptimised
Quick Sort Optimised,25,0,0,0,0,0,0,0,0,0,0,0,Optimised
Bubble Sort,25,1,1,1,1,1,1,1,1,1,1,1,UnOptimised
Bubble Sort Optimised ,25,1,1,1,1,1,1,1,1,1,1,1,Optimised
Bubble Comb Sort Optimised,25,0,1,1,0,0,0,0,1,1,0,0.4,Optimised
Std Sort,25,2,2,2,2,2,2,2,2,3,2,2.1,Optimised
Insertion Sort,50,1,1,1,1,1,1,1,1,1,1,1,UnOptimised
Insertion Sort Optimised,50,6,6,5,7,5,5,5,5,7,5,5.6,Optimised
Shell Sort,50,1,1,1,1,1,1,1,1,1,1,1,UnOptimised
Shell Sort Optimised ,50,1,1,1,1,1,1,1,0,1,1,0.9,Optimised
Rubix Sort,50,80,79,77,140,78,78,78,77,120,78,88.5,UnOptimised
Rubix Sort Optimised ,50,6,6,6,6,6,6,6,6,8,6,6.2,Optimised
Bitwise Optimised Rubix Sort,50,7,6,7,7,7,7,6,7,8,7,6.9,Optimised
Bitwise Optimised Vector Rubix Sort,50,7,6,7,7,6,6,7,6,8,7,6.7,Optimised
Quick Sort,50,2,2,2,2,1,2,2,2,2,1,1.8,UnOptimised
Quick Sort Optimised,50,0,0,0,0,0,0,0,0,0,0,0,Optimised
Bubble Sort,50,4,4,4,6,4,4,4,4,5,4,4.3,UnOptimised
Bubble Sort Optimised ,50,4,4,4,6,4,4,4,4,6,4,4.4,Optimised
Bubble Comb Sort Optimised,50,2,1,1,2,1,1,1,1,2,1,1.3,Optimised
Std Sort,50,5,5,4,7,4,4,4,4,7,4,4.8,Optimised
Insertion Sort,100,3,4,4,5,3,3,3,3,3,3,3.4,UnOptimised
Insertion Sort Optimised,100,12,16,17,13,12,12,12,13,13,13,13.3,Optimised
Shell Sort,100,2,3,2,2,2,2,2,2,2,2,2.1,UnOptimised
Shell Sort Optimised ,100,2,2,2,2,2,2,2,2,2,2,2,Optimised
Rubix Sort,100,123,155,124,134,146,124,124,125,125,126,130.6,UnOptimised
Rubix Sort Optimised ,100,10,13,10,11,10,10,10,10,10,10,10.4,Optimised
Bitwise Optimised Rubix Sort,100,13,63,13,14,13,13,14,14,13,13,18.3,Optimised
Bitwise Optimised Vector Rubix Sort,100,13,16,16,13,13,13,13,13,13,13,13.6,Optimised
Quick Sort,100,4,5,4,4,4,4,4,4,4,4,4.1,UnOptimised
Quick Sort Optimised,100,0,1,0,0,0,0,0,0,0,0,0.1,Optimised
Bubble Sort,100,16,20,16,16,17,16,16,16,15,16,16.4,UnOptimised
Bubble Sort Optimised ,100,16,20,16,16,17,16,16,16,16,16,16.5,Optimised
Bubble Comb Sort Optimised,100,4,5,4,4,4,4,4,4,4,4,4.1,Optimised
Std Sort,100,9,12,9,10,9,9,9,9,9,10,9.5,Optimised
Insertion Sort,250,25,19,19,21,19,19,19,27,19,18,20.5,UnOptimised
Insertion Sort Optimised,250,54,42,42,44,42,42,42,59,41,43,45.1,Optimised
Shell Sort,250,9,7,7,7,7,7,7,8,7,6,7.2,UnOptimised
Shell Sort Optimised ,250,9,7,7,8,7,7,7,8,7,7,7.4,Optimised
Rubix Sort,250,329,261,262,275,265,263,263,421,264,272,287.5,UnOptimised
Rubix Sort Optimised ,250,29,23,23,23,24,23,23,28,23,24,24.3,Optimised
Bitwise Optimised Rubix Sort,250,54,44,32,32,32,31,31,35,32,37,36,Optimised
Bitwise Optimised Vector Rubix Sort,250,44,37,36,36,36,40,36,44,36,36,38.1,Optimised
Quick Sort,250,15,12,12,12,12,12,12,12,12,12,12.3,UnOptimised
Quick Sort Optimised,250,2,1,1,1,1,1,1,1,1,1,1.1,Optimised
Bubble Sort,250,107,86,86,86,94,85,86,88,85,86,88.9,UnOptimised
Bubble Sort Optimised ,250,106,85,85,86,94,85,86,88,85,85,88.5,Optimised
Bubble Comb Sort Optimised,250,16,13,13,13,13,13,14,13,13,13,13.4,Optimised
Std Sort,250,33,26,26,28,26,26,38,32,26,28,28.9,Optimised
Insertion Sort,500,88,71,88,71,88,71,71,73,93,71,78.5,UnOptimised
Insertion Sort Optimised,500,147,116,143,115,143,115,115,116,159,115,128.4,Optimised
Shell Sort,500,16,15,19,15,19,15,15,15,18,15,16.2,UnOptimised
Shell Sort Optimised ,500,19,17,23,18,22,17,18,18,20,18,19,Optimised
Rubix Sort,500,552,496,1067,481,601,481,483,541,765,482,594.9,UnOptimised
Rubix Sort Optimised ,500,44,44,54,43,56,43,43,54,50,43,47.4,Optimised
Bitwise Optimised Rubix Sort,500,66,64,80,64,96,64,64,80,79,64,72.1,Optimised
Bitwise Optimised Vector Rubix Sort,500,90,93,87,70,96,69,70,94,84,71,82.4,Optimised
Quick Sort,500,27,26,33,26,33,26,26,33,32,26,28.8,UnOptimised
Quick Sort Optimised,500,2,2,2,2,2,2,2,2,2,2,2,Optimised
Bubble Sort,500,325,354,404,315,438,357,339,401,394,316,364.3,UnOptimised
Bubble Sort Optimised ,500,317,314,395,314,411,316,319,351,316,315,336.8,Optimised
Bubble Comb Sort Optimised,500,34,29,29,29,29,29,30,29,29,29,29.6,Optimised
Std Sort,500,61,60,60,61,61,60,60,61,60,64,60.8,Optimised
Insertion Sort,750,157,170,157,158,163,157,158,203,157,159,163.9,UnOptimised
Insertion Sort Optimised,750,214,220,214,214,216,214,214,219,216,216,215.7,Optimised
Shell Sort,750,23,28,23,23,23,23,23,24,23,24,23.7,UnOptimised
Shell Sort Optimised ,750,30,32,30,30,30,31,30,31,30,30,30.4,Optimised
Rubix Sort,750,716,716,829,713,866,717,709,988,735,724,771.3,UnOptimised
Rubix Sort Optimised ,750,64,65,81,64,66,66,64,65,65,64,66.4,Optimised
Bitwise Optimised Rubix Sort,750,95,100,118,94,96,100,95,99,96,94,98.7,Optimised
Bitwise Optimised Vector Rubix Sort,750,99,333,125,99,104,101,99,110,101,100,127.1,Optimised
Quick Sort,750,43,48,53,42,42,42,42,43,42,43,44,UnOptimised
Quick Sort Optimised,750,5,5,6,5,5,5,5,5,5,5,5.1,Optimised
Bubble Sort,750,696,848,709,697,962,916,697,712,696,713,764.6,UnOptimised
Bubble Sort Optimised ,750,681,700,659,685,789,828,687,696,688,732,714.5,Optimised
Bubble Comb Sort Optimised,750,52,51,52,51,51,51,51,51,51,52,51.3,Optimised
Std Sort,750,95,95,96,94,99,95,98,95,99,102,96.8,Optimised
Insertion Sort,1000,297,312,283,383,382,282,281,291,281,524,331.6,UnOptimised
Insertion Sort Optimised,1000,344,412,345,431,430,342,364,401,375,591,403.5,Optimised
Shell Sort,1000,31,32,32,39,39,31,31,40,31,31,33.7,UnOptimised
Shell Sort Optimised ,1000,43,47,43,53,53,42,43,53,42,44,46.3,Optimised
Rubix Sort,1000,926,934,967,968,1070,926,950,1079,1078,1554,1045.2,UnOptimised
Rubix Sort Optimised ,1000,91,86,90,87,88,90,89,87,87,107,90.2,Optimised
Bitwise Optimised Rubix Sort,1000,126,126,127,128,128,126,129,135,132,193,135,Optimised
Bitwise Optimised Vector Rubix Sort,1000,135,142,145,137,138,142,136,139,154,225,149.3,Optimised
Quick Sort,1000,59,61,59,59,60,59,59,60,69,59,60.4,UnOptimised
Quick Sort Optimised,1000,9,9,9,9,9,9,9,9,9,9,9,Optimised
Bubble Sort,1000,1214,1298,1257,1218,1399,1236,1230,1275,1287,1244,1265.8,UnOptimised
Bubble Sort Optimised ,1000,1211,1279,1231,1216,1394,1248,1248,1258,1228,1291,1260.4,Optimised
Bubble Comb Sort Optimised,1000,69,73,71,70,71,72,71,71,70,69,70.7,Optimised
Std Sort,1000,129,139,132,130,135,133,133,137,133,141,134.2,Optimised
Insertion Sort,1500,629,619,775,623,669,773,619,631,662,775,677.5,UnOptimised
Insertion Sort Optimised,1500,698,729,677,672,690,829,1145,686,706,841,767.3,Optimised
Shell Sort,1500,51,55,50,50,51,55,50,51,53,70,53.6,UnOptimised
Shell Sort Optimised ,1500,72,78,70,70,72,72,70,71,74,87,73.6,Optimised
Rubix Sort,1500,1389,1545,1387,1442,1405,1453,1374,1641,1403,1471,1451,UnOptimised
Rubix Sort Optimised ,1500,126,134,126,127,129,130,126,149,125,127,129.9,Optimised
Bitwise Optimised Rubix Sort,1500,188,208,187,191,187,304,192,198,192,187,203.4,Optimised
Bitwise Optimised Vector Rubix Sort,1500,194,207,202,193,205,266,192,204,193,217,207.3,Optimised
Quick Sort,1500,92,102,91,117,95,114,92,93,91,115,100.2,UnOptimised
Quick Sort Optimised,1500,10,11,10,11,16,13,10,11,10,11,11.3,Optimised
Bubble Sort,1500,2712,2762,2729,2841,3003,2825,2757,3086,3217,3406,2933.8,UnOptimised
Bubble Sort Optimised ,1500,2709,2768,2838,2754,3028,2833,2800,2775,2597,3061,2816.3,Optimised
Bubble Comb Sort Optimised,1500,111,114,113,113,116,117,113,111,111,111,113,Optimised
Std Sort,1500,209,212,210,209,216,217,209,206,210,228,212.6,Optimised
Insertion Sort,2000,1069,1048,1048,1051,1200,1048,1065,1048,1425,1067,1106.9,UnOptimised
Insertion Sort Optimised,2000,1078,1081,1079,1081,1102,1192,1104,2042,1603,1091,1245.3,Optimised
Shell Sort,2000,67,67,68,68,69,67,69,80,76,68,69.9,UnOptimised
Shell Sort Optimised ,2000,97,99,98,97,101,100,98,112,114,97,101.3,Optimised
Rubix Sort,2000,1828,1917,1847,1955,2252,1837,1920,2315,1937,2239,2004.7,UnOptimised
Rubix Sort Optimised ,2000,168,168,173,169,175,167,176,216,172,168,175.2,Optimised
Bitwise Optimised Rubix Sort,2000,248,247,255,251,256,248,265,319,261,252,260.2,Optimised
Bitwise Optimised Vector Rubix Sort,2000,259,259,261,259,258,261,257,322,291,259,268.6,Optimised
Quick Sort,2000,128,128,129,127,128,129,129,159,131,129,131.7,UnOptimised
Quick Sort Optimised,2000,11,11,11,11,11,11,11,14,11,11,11.3,Optimised
Bubble Sort,2000,4924,4637,4957,4889,5452,4908,5115,4500,5753,5077,5021.2,UnOptimised
Bubble Sort Optimised ,2000,4665,4610,4678,4625,5266,4643,4581,4656,4637,4604,4696.5,Optimised
Bubble Comb Sort Optimised,2000,160,160,160,159,162,162,161,160,160,160,160.4,Optimised
Std Sort,2000,291,295,293,291,292,292,306,291,292,309,295.2,Optimised
Insertion Sort,2500,2106,1678,1808,1681,1719,2169,1677,1919,1848,1715,1832,UnOptimised
Insertion Sort Optimised,2500,2760,2167,2119,1711,1637,1856,1651,1635,1682,1728,1894.6,Optimised
Shell Sort,2500,95,94,94,96,93,118,95,97,102,99,98.3,UnOptimised
Shell Sort Optimised ,2500,129,128,129,131,132,132,140,131,131,137,132,Optimised
Rubix Sort,2500,2278,2276,2433,2420,2275,2486,2349,2630,2289,2427,2386.3,UnOptimised
Rubix Sort Optimised ,2500,212,218,211,212,214,209,209,211,209,217,212.2,Optimised
Bitwise Optimised Rubix Sort,2500,310,320,310,311,318,361,309,313,310,311,317.3,Optimised
Bitwise Optimised Vector Rubix Sort,2500,318,386,378,319,320,486,319,316,319,319,348,Optimised
Quick Sort,2500,162,160,162,164,164,165,163,169,161,162,163.2,UnOptimised
Quick Sort Optimised,2500,14,14,14,14,14,14,14,14,14,14,14,Optimised
Bubble Sort,2500,7313,7335,7405,7282,8149,7789,7286,7410,7121,7455,7454.5,UnOptimised
Bubble Sort Optimised ,2500,7525,7223,7570,7133,8064,7280,7347,7318,7503,7536,7449.9,Optimised
Bubble Comb Sort Optimised,2500,204,210,208,205,208,215,205,200,205,217,207.7,Optimised
Std Sort,2500,368,369,371,383,370,383,395,367,371,389,376.6,Optimised
Insertion Sort,3000,2407,2407,2399,2466,2432,2411,3109,2470,2400,3209,2571,UnOptimised
Insertion Sort Optimised,3000,2304,2261,2350,2325,2297,2259,2325,2285,2288,2247,2294.1,Optimised
Shell Sort,3000,109,105,116,108,112,110,105,108,116,111,110,UnOptimised
Shell Sort Optimised ,3000,161,160,165,163,161,168,162,163,167,157,162.7,Optimised
Rubix Sort,3000,2798,2728,2924,2795,2778,2749,2735,2751,2802,2794,2785.4,UnOptimised
Rubix Sort Optimised ,3000,251,250,263,251,256,251,250,260,250,256,253.8,Optimised
Bitwise Optimised Rubix Sort,3000,370,370,383,370,372,383,371,381,370,379,374.9,Optimised
Bitwise Optimised Vector Rubix Sort,3000,379,381,381,382,452,378,381,381,380,454,394.9,Optimised
Quick Sort,3000,202,199,202,201,199,199,200,199,199,206,200.6,UnOptimised
Quick Sort Optimised,3000,7,6,7,7,6,7,7,6,6,7,6.6,Optimised
Bubble Sort,3000,10471,10585,10363,10031,11873,10379,9941,10548,10013,11220,10542.4,UnOptimised
Bubble Sort Optimised ,3000,10575,10619,10782,10704,12303,10801,10586,12037,10643,12730,11178,Optimised
Bubble Comb Sort Optimised,3000,258,267,258,331,264,250,262,262,261,332,274.5,Optimised
Std Sort,3000,451,474,445,513,458,454,452,463,447,738,489.5,Optimised
Insertion Sort,3500,3472,3459,3538,3457,3966,3477,3410,3489,3353,3463,3508.4,UnOptimised
Insertion Sort Optimised,3500,3195,3202,3152,3168,5787,3179,3147,3225,3143,5570,3676.8,Optimised
Shell Sort,3500,133,134,129,138,132,128,127,197,129,127,137.4,UnOptimised
Shell Sort Optimised ,3500,193,194,198,195,201,199,189,279,200,189,203.7,Optimised
Rubix Sort,3500,3185,3190,3274,3323,3208,3220,3271,3344,3593,3228,3283.6,UnOptimised
Rubix Sort Optimised ,3500,292,293,296,295,303,296,292,294,293,295,294.9,Optimised
Bitwise Optimised Rubix Sort,3500,436,433,440,436,541,449,436,452,441,448,451.2,Optimised
Bitwise Optimised Vector Rubix Sort,3500,447,454,536,585,445,452,450,448,450,449,471.6,Optimised
Quick Sort,3500,239,241,245,320,238,239,238,241,242,238,248.1,UnOptimised
Quick Sort Optimised,3500,31,30,31,38,31,31,31,31,30,30,31.4,Optimised
