Algorithm,Array Size,Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (microseconds)
Insertion Sort,10,1,0,0,0,0,0,0,0,1,1,1.181818182
Insertion Sort Optimised,10,27,7,6,6,6,6,5,20,9,9,10.09090909
Shell Sort,10,1,0,0,0,0,0,0,0,1,1,1.181818182
Shell Sort Optimised ,10,0,0,0,0,0,0,0,0,0,0,0.909090909
Rubix Sort,10,9,3,2,2,2,2,3,6,3,3,4.090909091
Rubix Sort Optimised ,10,1192,27,28,28,29,26,29,32,58,39,136.1818182
Bitwise Optimised Rubix Sort,10,32,16,17,15,16,17,16,18,21,23,18.27272727
Bitwise Optimised Vector Rubix Sort,10,20,10,10,9,10,10,10,10,15,15,11.72727273
Quick Sort,10,2,0,0,0,0,0,0,0,1,1,1.272727273
Quick Sort Optimised,10,1,0,0,0,0,0,0,0,0,0,1
Bubble Sort,10,2,0,0,0,0,0,0,0,1,1,1.272727273
Bubble Sort Optimised ,10,2,0,1,1,1,0,1,1,1,1,1.727272727
Bubble Comb Sort Optimised,10,1,0,0,0,0,0,0,0,1,1,1.181818182
Std Sort,10,6,3,3,2,3,3,3,3,4,4,4
Insertion Sort,25,4,2,1,2,1,1,1,2,3,3,4.090909091
Insertion Sort Optimised,25,26,14,11,14,11,10,11,10,20,18,15.45454545
Shell Sort,25,3,2,1,2,1,1,1,1,3,3,3.909090909
Shell Sort Optimised ,25,2,1,1,1,1,1,1,1,2,2,3.454545455
Rubix Sort,25,0,0,0,0,0,0,0,0,0,0,2.272727273
Rubix Sort Optimised ,25,65,38,26,39,26,25,28,27,49,46,35.81818182
Bitwise Optimised Rubix Sort,25,34,18,12,18,12,12,12,12,25,23,18.45454545
Bitwise Optimised Vector Rubix Sort,25,33,18,12,18,12,12,12,12,25,23,18.36363636
Quick Sort,25,5,3,1,3,2,1,2,2,4,3,4.636363636
Quick Sort Optimised,25,1,0,0,0,0,0,0,0,1,1,2.545454545
Bubble Sort,25,10,6,3,5,3,4,4,3,8,7,7.090909091
Bubble Sort Optimised ,25,10,5,3,5,3,3,3,4,8,7,6.909090909
Bubble Comb Sort Optimised,25,6,3,2,3,2,2,2,2,4,4,5
Std Sort,25,23,12,9,12,9,8,9,9,18,16,13.63636364
Insertion Sort,50,13,7,4,6,4,4,4,4,8,7,10.09090909
Insertion Sort Optimised,50,1159,31,22,31,22,22,22,22,40,32,132.0909091
Shell Sort,50,10,4,3,4,3,3,3,3,6,5,8.545454545
Shell Sort Optimised ,50,7,3,2,3,2,2,2,2,4,3,7.272727273
Rubix Sort,50,0,0,0,0,0,0,0,0,0,0,4.545454545
Rubix Sort Optimised ,50,179,50,35,51,33,39,33,33,58,46,55.18181818
Bitwise Optimised Rubix Sort,50,72,33,22,33,22,22,23,22,43,35,34.27272727
Bitwise Optimised Vector Rubix Sort,50,159,33,22,33,22,22,22,22,43,67,45
Quick Sort,50,16,7,5,7,5,5,5,5,10,8,11.18181818
Quick Sort Optimised,50,3,1,1,1,1,1,1,1,2,1,5.727272727
Bubble Sort,50,43,20,13,20,13,13,13,13,26,104,29.81818182
Bubble Sort Optimised ,50,41,19,13,19,13,13,13,13,26,22,22
Bubble Comb Sort Optimised,50,15,7,4,7,4,4,4,4,9,1111,110.8181818
Std Sort,50,57,27,19,27,18,19,19,19,35,31,29.18181818
Insertion Sort,100,45,21,14,21,14,156,14,14,28,27,41.27272727
Insertion Sort Optimised,100,149,83,49,71,49,84,48,49,127,92,81.90909091
Shell Sort,100,22,11,7,11,7,7,7,7,14,14,18.81818182
Shell Sort Optimised ,100,18,8,5,8,6,261,6,6,23,11,41.09090909
Rubix Sort,100,0,0,0,0,0,0,0,0,0,0,9.090909091
Rubix Sort Optimised ,100,154,79,59,79,57,99,57,58,190,99,93.72727273
Bitwise Optimised Rubix Sort,100,135,63,43,65,55,43,43,44,125,83,72.63636364
Bitwise Optimised Vector Rubix Sort,100,135,63,43,62,55,43,43,44,83,83,68.54545455
Quick Sort,100,34,17,11,16,11,11,11,11,22,21,24.09090909
Quick Sort Optimised,100,6,2,2,2,2,2,2,1,3,3,11.36363636
Bubble Sort,100,163,76,52,76,66,52,52,52,101,100,80.90909091
Bubble Sort Optimised ,100,163,76,52,76,72,52,51,51,100,99,81.09090909
Bubble Comb Sort Optimised,100,38,17,12,17,20,12,12,12,23,23,26
Std Sort,100,121,56,41,57,40,40,40,39,74,75,62.09090909
Insertion Sort,250,293,336,89,121,82,86,82,82,191,158,160.9090909
Insertion Sort Optimised,250,630,352,206,238,162,170,199,162,347,311,275.1818182
Shell Sort,250,73,92,23,31,21,21,20,20,39,98,62.54545455
Shell Sort Optimised ,250,67,27,20,27,18,19,18,18,35,35,48.54545455
Rubix Sort,250,0,0,0,0,0,0,0,0,0,0,22.72727273
Rubix Sort Optimised ,250,539,349,134,165,183,107,116,94,211,209,214.2727273
Bitwise Optimised Rubix Sort,250,489,598,120,157,106,112,106,124,204,203,224.4545455
Bitwise Optimised Vector Rubix Sort,250,470,313,152,192,130,171,145,135,260,255,224.8181818
Quick Sort,250,119,51,38,50,90,35,33,34,64,65,75.36363636
Quick Sort Optimised,250,14,6,4,6,4,4,4,4,8,8,28.36363636
Bubble Sort,250,1096,1087,348,523,380,318,334,363,626,606,539.1818182
Bubble Sort Optimised ,250,1077,962,341,458,309,312,302,432,666,591,518.1818182
Bubble Comb Sort Optimised,250,130,425,56,81,91,37,37,36,70,70,116.6363636
Std Sort,250,400,301,129,190,136,130,117,115,258,217,203.9090909
Insertion Sort,500,1354,445,376,481,321,320,321,321,637,617,517.5454545
Insertion Sort Optimised,500,2093,611,453,656,445,447,444,3002,852,854,941.5454545
Shell Sort,500,200,64,46,68,46,46,46,47,89,89,112.8181818
Shell Sort Optimised ,500,140,62,45,66,45,44,189,48,97,87,120.2727273
Rubix Sort,500,0,0,0,0,0,0,0,0,0,0,45.45454545
Rubix Sort Optimised ,500,819,256,179,244,170,158,215,372,381,434,338.9090909
Bitwise Optimised Rubix Sort,500,650,288,242,330,226,219,211,223,400,723,364.7272727
Bitwise Optimised Vector Rubix Sort,500,648,286,2669,363,235,231,211,275,397,1630,676.8181818
Quick Sort,500,466,94,71,191,70,69,69,73,135,138,170.5454545
Quick Sort Optimised,500,16,7,6,8,5,5,5,6,10,10,52.54545455
Bubble Sort,500,3814,1983,1325,1971,1221,1204,1209,1424,2415,8498,2324
Bubble Sort Optimised ,500,4456,1831,1210,2257,1213,1189,1186,1752,2427,2522,1867.545455
Bubble Comb Sort Optimised,500,521,111,80,125,81,79,80,132,251,155,192.2727273
Std Sort,500,1743,2675,277,482,260,1881,257,516,1079,500,924.5454545
Insertion Sort,750,2102,996,717,1055,3031,746,717,1122,1836,1413,1316.818182
Insertion Sort Optimised,750,2394,1174,846,1296,911,915,1089,977,1864,1434,1240.909091
Shell Sort,750,206,102,73,231,74,77,74,85,153,123,177.0909091
Shell Sort Optimised ,750,212,105,75,114,77,80,76,87,158,119,168.4545455
Rubix Sort,750,0,0,0,0,0,0,0,0,0,0,68.18181818
Rubix Sort Optimised ,750,815,323,248,362,406,280,238,297,497,416,421.0909091
Bitwise Optimised Rubix Sort,750,1277,462,313,701,1766,362,334,355,693,549,687.4545455
Bitwise Optimised Vector Rubix Sort,750,1734,468,348,511,507,377,347,383,723,589,612.4545455
Quick Sort,750,341,151,230,161,636,115,110,110,227,172,273
Quick Sort Optimised,750,42,18,876,19,14,14,14,14,28,20,164.4545455
Bubble Sort,750,10952,4586,2958,4208,3209,4207,3868,3239,5604,4701,4389.272727
Bubble Sort Optimised ,750,8890,3756,2698,5049,3866,3288,3010,5723,6327,4302,4332.636364
Bubble Comb Sort Optimised,750,1854,198,143,308,143,142,158,142,273,222,393.9090909
Std Sort,750,1330,561,871,645,415,408,426,11270,831,640,1649.727273
Insertion Sort,1000,4121,1663,4432,2108,16804,1315,1330,1297,39608,2308,6907.818182
Insertion Sort Optimised,1000,4307,1748,1540,4156,5551,1375,1415,2086,5366,2413,2814.272727
Shell Sort,1000,307,131,103,179,252,124,119,99,155,154,238.4545455
Shell Sort Optimised ,1000,412,139,112,165,411,106,107,107,165,166,262.7272727
Rubix Sort,1000,0,0,0,0,0,0,0,0,0,0,90.90909091
Rubix Sort Optimised ,1000,1054,489,374,559,6848,331,348,390,497,603,1135.727273
Bitwise Optimised Rubix Sort,1000,1469,574,553,835,2086,923,451,428,4388,674,1216.454545
Bitwise Optimised Vector Rubix Sort,1000,1544,616,537,730,1035,573,518,466,1184,753,814.1818182
Quick Sort,1000,532,223,156,243,176,156,1183,157,245,244,392.2727273
Quick Sort Optimised,1000,65,28,20,33,21,21,21,21,33,33,117.8181818
Bubble Sort,1000,21309,9990,5015,7791,17838,13349,8883,8361,21416,8194,11195.09091
Bubble Sort Optimised ,1000,25048,7024,10370,8884,5159,12837,5173,6485,11767,12774,9683.727273
Bubble Comb Sort Optimised,1000,602,253,192,285,193,235,193,193,304,328,343.4545455
Std Sort,1000,1770,805,740,821,559,663,2367,559,1162,1199,1058.636364
Insertion Sort,1500,11799,4592,3724,4225,3480,3401,3211,3347,5430,5163,4533.818182
Insertion Sort Optimised,1500,8526,4990,3461,3749,4200,2951,2728,2712,10319,6158,4663.090909
Shell Sort,1500,513,242,164,288,478,164,164,165,292,292,387.4545455
Shell Sort Optimised ,1500,558,262,179,235,179,179,178,179,339,354,376.5454545
Rubix Sort,1500,0,0,0,0,0,0,0,0,0,0,136.3636364
Rubix Sort Optimised ,1500,1411,731,1231,743,1019,493,491,482,2125,832,1005.272727
Bitwise Optimised Rubix Sort,1500,1987,944,3459,826,728,631,643,639,1381,1103,1258.272727
Bitwise Optimised Vector Rubix Sort,1500,2185,971,5265,938,821,673,665,667,1197,1120,1454.727273
Quick Sort,1500,1452,345,235,361,451,233,236,236,417,433,536.2727273
Quick Sort Optimised,1500,77,36,25,34,25,25,24,25,43,44,168.9090909
Bubble Sort,1500,37781,23529,41509,15452,16482,15187,11993,14403,49800,27519,23195.90909
Bubble Sort Optimised ,1500,36162,25695,26623,16400,14207,22658,12082,12445,22358,22066,19290.54545
Bubble Comb Sort Optimised,1500,1064,585,478,384,560,308,307,344,513,653,608.7272727
Std Sort,1500,3317,1228,1370,1167,907,885,1708,1217,3373,1515,1653.363636
Insertion Sort,2000,19394,13510,16614,6725,29026,6871,25768,5180,13415,11475,13634.36364
Insertion Sort Optimised,2000,23224,6825,9998,7010,13456,4651,19798,5427,10793,8849,10184.63636
Shell Sort,2000,598,284,1062,283,216,404,1890,219,384,360,700
Shell Sort Optimised ,2000,758,325,452,323,253,265,571,253,441,674,574.0909091
Rubix Sort,2000,0,0,0,0,0,0,0,0,0,0,181.8181818
Rubix Sort Optimised ,2000,1924,1131,1510,794,686,638,993,590,1115,1033,1128.545455
Bitwise Optimised Rubix Sort,2000,2942,1447,1495,1128,5485,864,1256,1991,1727,1421,1977.818182
Bitwise Optimised Vector Rubix Sort,2000,2870,1199,1398,1220,18064,899,6139,919,1511,1645,3442.181818
Quick Sort,2000,1365,440,527,439,716,336,496,336,561,797,728.4545455
Quick Sort Optimised,2000,79,36,43,37,28,28,41,28,46,47,219.3636364
Bubble Sort,2000,83918,26662,55055,32935,40651,22056,69113,23347,91780,42829,44576.90909
Bubble Sort Optimised ,2000,81954,26922,59050,29234,67215,22589,64539,20697,52662,36201,42096.63636
Bubble Comb Sort Optimised,2000,1537,521,766,553,466,440,608,442,785,732,804.5454545
Std Sort,2000,3145,1472,2698,1560,1411,1261,1901,1272,2405,2101,1929.636364
Insertion Sort,2500,32570,10579,13147,10938,9000,12562,15403,10343,18227,15514,13707.54545
Insertion Sort Optimised,2500,34565,8953,10759,9144,8271,17635,16968,6950,55321,13111,16743.36364
Shell Sort,2500,1076,391,3718,416,539,442,466,303,1424,513,1071.636364
Shell Sort Optimised ,2500,1371,436,781,475,518,6623,511,325,747,542,1348.090909
Rubix Sort,2500,0,0,0,0,0,0,0,0,0,0,227.2727273
Rubix Sort Optimised ,2500,8171,972,1191,991,809,1134,1384,1086,1464,1264,1906
Bitwise Optimised Rubix Sort,2500,7756,1395,3950,1382,2009,1773,2230,1084,1932,1781,2526.545455
Bitwise Optimised Vector Rubix Sort,2500,3965,1358,1935,1425,1831,2217,1807,1376,4487,1842,2249.363636
Quick Sort,2500,1504,561,651,547,449,11042,665,596,767,705,1817
Quick Sort Optimised,2500,102,71,3223,43,34,50,51,37,59,56,566
Bubble Sort,2500,131000,42252,65660,41810,81433,48078,50515,43641,119892,55335,62010.54545
Bubble Sort Optimised ,2500,94464,63358,94234,36773,63213,43530,56890,34930,68334,49198,55220.36364
Bubble Comb Sort Optimised,2500,1419,1115,792,645,628,790,942,578,1071,792,1024.727273
Std Sort,2500,4035,2605,2178,1807,5224,2016,2557,1958,2781,2337,2727.090909
Insertion Sort,3000,44600,16489,18742,17388,15057,30144,22901,11651,22738,21050,20341.81818
Insertion Sort Optimised,3000,39723,13216,14202,23315,11293,15182,20330,12568,18657,16444,17084.54545
Shell Sort,3000,1249,445,525,489,357,461,515,365,628,555,780.8181818
Shell Sort Optimised ,3000,1421,497,888,556,399,525,696,400,1014,728,920.3636364
Rubix Sort,3000,0,0,0,0,0,0,0,0,0,0,272.7272727
Rubix Sort Optimised ,3000,3547,1112,1628,1223,2460,1153,1309,902,1745,1983,1823.818182
Bitwise Optimised Rubix Sort,3000,6347,1595,2135,2225,1479,1686,2012,1504,2335,2448,2433.272727
Bitwise Optimised Vector Rubix Sort,3000,20138,1915,2004,1834,1422,3256,1995,1843,3007,2680,3917.636364
Quick Sort,3000,1957,688,791,761,521,2537,2774,523,920,1191,1423.909091
Quick Sort Optimised,3000,60,24,70,26,22,25,29,20,32,30,303.4545455
Bubble Sort,3000,146506,54564,69630,62983,83827,67392,79045,49450,92841,76822,71460
Bubble Sort Optimised ,3000,121778,49640,77247,62698,82403,64886,77414,48378,85006,84406,68805.09091
Bubble Comb Sort Optimised,3000,1647,764,949,904,3053,963,958,743,1130,1124,1385
Std Sort,3000,4508,1971,2673,2280,3484,2692,2968,1984,3023,3327,2900.909091
Insertion Sort,3500,55459,26641,29571,25202,19819,25259,27506,17761,44241,36585,28322.18182
Insertion Sort Optimised,3500,60862,20357,23965,16752,14787,17665,25927,14506,24722,29864,22991.54545
Shell Sort,3500,1737,629,724,550,429,596,871,419,720,655,984.5454545
Shell Sort Optimised ,3500,2365,725,727,650,1600,678,969,489,819,766,1208
Rubix Sort,3500,0,0,0,0,0,0,0,0,0,0,318.1818182
Rubix Sort Optimised ,3500,6609,1433,1505,1272,1378,1405,1818,1024,1751,1659,2123.090909
Bitwise Optimised Rubix Sort,3500,7729,2031,2290,2277,2961,2094,2513,1515,2980,3052,2994.727273
