Algorithm,Array Size,Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (microseconds)
Bitwise Optimised Vector Rubix Sort,3500,6817,2939,2309,2084,1825,2169,2404,1600,3100,2541,2844.363636
Quick Sort,3500,2578,885,921,772,723,1761,1021,620,1042,980,1345.727273
Quick Sort Optimised,3500,296,98,104,89,74,98,104,70,119,110,423.8181818
Bubble Sort,3500,236146,85676,101829,74041,83830,102021,107650,70002,123792,101192,99061.72727
Bubble Sort Optimised ,3500,172243,89238,90298,70567,78627,92092,88217,79767,117293,102517,89487.18182
Bubble Comb Sort Optimised,3500,1987,1000,1130,2319,909,1110,1110,1035,1369,1179,1513.454545
Std Sort,3500,7289,2716,3201,3151,4011,3645,3114,2700,4806,3217,3759.090909
Insertion Sort,4000,133924,33032,41119,30832,24362,47632,40828,23455,55802,34079,42642.27273
Insertion Sort Optimised,4000,59449,20701,37492,21076,26480,24199,28292,18889,32574,26982,27284.90909
Shell Sort,4000,1209,574,1131,603,482,1865,727,483,820,770,1151.272727
Shell Sort Optimised ,4000,4388,777,1343,775,586,899,861,585,1004,914,1466.545455
Rubix Sort,4000,0,0,0,0,0,0,0,0,0,0,363.6363636
Rubix Sort Optimised ,4000,5021,1398,2190,1487,1248,1701,1715,1181,2062,1716,2156.272727
Bitwise Optimised Rubix Sort,4000,6274,2048,3729,2144,1871,2516,3194,1753,3009,2595,3012.090909
Bitwise Optimised Vector Rubix Sort,4000,5802,2100,5061,2150,2463,2684,3311,2176,3483,3820,3368.181818
Quick Sort,4000,1901,886,1288,877,746,992,3079,742,1654,1095,1569.090909
Quick Sort Optimised,4000,169,81,102,79,67,90,93,67,112,98,450.7272727
Bubble Sort,4000,351197,92426,139651,93396,91470,123194,138486,102878,147679,146319,130063.2727
Bubble Sort Optimised ,4000,199003,96055,133126,96190,110768,142122,125473,90595,141186,164255,118433.9091
Bubble Comb Sort Optimised,4000,2284,1086,1720,1146,1838,1384,1339,997,1562,1411,1706.090909
Std Sort,4000,6355,3079,6531,3302,3283,4032,3556,2792,5293,3956,4198.090909
Insertion Sort,4500,88999,37283,46659,37400,27893,46527,43637,30148,51349,46761,41923.27273
Insertion Sort Optimised,4500,72039,25144,30568,30899,21260,29540,38996,22732,39848,45324,32804.54545
Shell Sort,4500,1612,689,912,1407,604,805,806,581,1164,852,1266.545455
Shell Sort Optimised ,4500,1856,784,1274,1700,679,914,956,665,1275,1097,1427.272727
Rubix Sort,4500,0,0,0,0,0,0,0,0,0,0,409.0909091
Rubix Sort Optimised ,4500,4277,1531,1900,2160,1304,1824,1813,1453,2367,1911,2276.363636
Bitwise Optimised Rubix Sort,4500,5115,2308,2945,3060,2058,2695,3271,1951,3250,2891,3094.909091
Bitwise Optimised Vector Rubix Sort,4500,4825,2419,2692,3481,2005,2912,2726,1941,3207,2860,3051.636364
Quick Sort,4500,2313,1004,1194,1144,849,1117,1537,1648,1703,1285,1663.090909
Quick Sort Optimised,4500,171,80,95,89,68,90,96,71,114,112,498.7272727
Bubble Sort,4500,270685,134141,168278,125894,128958,154464,180036,127442,190679,188332,152128.0909
Bubble Sort Optimised ,4500,257722,134681,164893,117502,118120,148032,200943,143629,212017,167243,151752.9091
Bubble Comb Sort Optimised,4500,2007,1400,1498,1219,1169,1507,1911,1418,1863,1587,1825.363636
Std Sort,4500,5311,3720,4009,3199,4265,5268,5169,3869,5058,4549,4447
Insertion Sort,5000,113480,43697,62733,49594,41735,47537,56833,53273,59149,55064,53463.18182
Insertion Sort Optimised,5000,70365,29402,44482,31157,28007,44385,37467,34146,40331,37475,36565.18182
Shell Sort,5000,1919,732,1215,812,673,849,896,996,1008,963,1369.363636
Shell Sort Optimised ,5000,2233,864,1060,943,787,997,1068,1186,1504,1115,1523.363636
Rubix Sort,5000,0,0,0,0,0,0,0,0,0,0,454.5454545
Rubix Sort Optimised ,5000,5639,1665,2099,1846,1552,1898,2082,2235,2262,2152,2584.545455
Bitwise Optimised Rubix Sort,5000,11412,2530,3090,2737,2341,2819,3022,5927,3407,3229,4137.636364
Bitwise Optimised Vector Rubix Sort,5000,5529,2418,4300,2671,3132,2820,4109,4930,5621,3217,3977
Quick Sort,5000,2338,1065,1302,1206,1096,1628,1594,2471,1442,1375,1865.181818
Quick Sort Optimised,5000,91,44,52,46,41,48,81,94,57,54,509.8181818
Bubble Sort,5000,254527,153073,224812,164878,246221,179513,201844,197823,216757,205683,186375.5455
Bubble Sort Optimised ,5000,217686,167776,201856,146137,196903,151050,200779,164070,184160,194722,166376.2727
Bubble Comb Sort Optimised,5000,2077,1587,1764,1483,1777,1329,2189,1509,1674,1596,1998.636364
Std Sort,5000,5281,4065,5087,3671,6152,3417,4753,5522,4838,4100,4716.909091
Insertion Sort,6000,148999,63363,81314,60949,90909,61568,84511,65385,82577,62482,73459.72727
Insertion Sort Optimised,6000,80590,39446,45605,40900,50703,42290,48457,40987,45643,41620,43840.09091
Shell Sort,6000,1640,848,1007,885,1143,931,1027,848,984,886,1472.636364
Shell Sort Optimised ,6000,2020,1034,1122,1292,1301,1597,1241,1084,1180,1074,1722.272727
Rubix Sort,6000,0,0,0,0,0,0,0,0,0,0,545.4545455
Rubix Sort Optimised ,6000,3556,1864,2041,1961,2329,2374,2322,1861,2147,1945,2581.818182
Bitwise Optimised Rubix Sort,6000,5353,2789,3642,2911,3419,3250,4141,3086,3212,2903,3700.545455
Bitwise Optimised Vector Rubix Sort,6000,5630,2770,3031,2901,3597,3335,3530,2798,3202,2897,3608.272727
Quick Sort,6000,2211,1269,1364,1317,1553,1435,1514,1272,1440,1306,1880.090909
Quick Sort Optimised,6000,204,119,127,125,145,135,144,120,137,122,670.7272727
Bubble Sort,6000,363068,216088,217929,238470,282491,234627,295188,247104,249146,214987,233190.7273
Bubble Sort Optimised ,6000,300390,208466,232172,235156,293718,201705,216427,204565,284227,250779,221236.8182
Bubble Comb Sort Optimised,6000,2494,1577,1681,1956,2574,1582,1588,1860,2080,1952,2304
Std Sort,6000,6409,4451,4658,5628,6488,4097,4098,7734,6081,4450,5463.090909
Insertion Sort,7000,146298,78181,90832,78379,95900,79160,81706,77278,94134,78268,82466.90909
Insertion Sort Optimised,7000,84737,51051,60053,53988,78286,57800,50668,53716,73268,51879,56586
Shell Sort,7000,2238,966,1015,1075,1429,906,943,2392,1191,984,1830.818182
Shell Sort Optimised ,7000,2102,3823,1731,2877,1489,1112,1168,2567,1471,1216,2414.181818
Rubix Sort,7000,0,0,0,0,0,0,0,0,0,0,636.3636364
Rubix Sort Optimised ,7000,4269,3196,4016,4175,2649,2007,2084,3185,2653,2164,3399.818182
Bitwise Optimised Rubix Sort,7000,8290,4106,5560,4202,3973,3009,3124,4344,4541,3249,4672.545455
Bitwise Optimised Vector Rubix Sort,7000,5247,5525,4505,4620,3927,2977,3205,5154,3924,3270,4486.727273
Quick Sort,7000,2448,1923,2447,1712,2076,1454,1561,1684,1885,2094,2389.454545
Quick Sort Optimised,7000,164,112,113,111,125,99,98,126,123,106,743.3636364
Bubble Sort,7000,480556,298713,296557,334046,370701,303488,291895,280640,349841,320688,303102.2727
Bubble Sort Optimised ,7000,538442,295496,286073,339576,282861,302841,292472,285135,356198,278549,296785.7273
Bubble Comb Sort Optimised,7000,2892,2602,1845,2091,1846,2092,2510,2137,2664,1917,2690.545455
Std Sort,7000,7784,6377,5051,5684,4955,5642,6019,5712,7058,5166,6040.727273
Insertion Sort,8000,186016,112607,106194,103758,106123,107739,104091,103887,147940,117717,109461.0909
Insertion Sort Optimised,8000,126763,101749,63342,74488,66334,60679,91361,62520,90127,89801,75924
Shell Sort,8000,2032,1354,1103,1201,1058,1057,2181,1059,1321,1324,1971.818182
Shell Sort Optimised ,8000,2634,1467,1391,1511,1325,1326,1662,1336,1663,1686,2181.909091
Rubix Sort,8000,0,0,0,0,0,0,0,0,0,0,727.2727273
Rubix Sort Optimised ,8000,4315,3184,2370,2564,2264,2266,2827,2427,2817,2953,3271.545455
Bitwise Optimised Rubix Sort,8000,6589,4942,3829,3894,3603,3435,4551,4024,4686,4079,4693.818182
Bitwise Optimised Vector Rubix Sort,8000,6590,4462,4541,4146,3412,3424,5076,7189,4264,4045,5013.545455
Quick Sort,8000,3135,2268,4486,1889,1601,2288,2393,2041,2006,1906,2910.272727
Quick Sort Optimised,8000,249,163,180,145,128,130,166,150,160,154,875
Bubble Sort,8000,630514,375856,422350,428861,414527,371444,403087,368783,444299,395423,387558.5455
Bubble Sort Optimised ,8000,533930,438609,397383,401429,380679,365779,380499,364062,503834,366033,376385.1818
Bubble Comb Sort Optimised,8000,3343,2921,3127,2532,2326,2233,2237,2270,4685,2251,3265.909091
Std Sort,8000,11770,9119,7706,6830,5928,5828,6656,5694,9644,5856,7548.272727
Insertion Sort,9000,284290,122089,126696,151652,147129,147173,155797,131932,191503,127065,144938.7273
Insertion Sort Optimised,9000,163781,91573,99582,96244,76699,78872,83073,93991,97527,108606,90813.45455
Shell Sort,9000,2119,1450,1383,1447,1273,1272,1497,1273,1514,1675,2173
Shell Sort Optimised ,9000,2601,2235,1699,1767,1829,1565,1699,1564,2419,2061,2585.363636
Rubix Sort,9000,0,0,0,0,0,0,0,0,0,0,818.1818182
Rubix Sort Optimised ,9000,4431,2907,2769,3150,2571,2554,2773,2583,3695,3399,3621.090909
Bitwise Optimised Rubix Sort,9000,6558,4420,4193,4384,3860,4449,4178,3960,8242,5708,5359.272727
Bitwise Optimised Vector Rubix Sort,9000,6510,4149,4149,4369,3833,4471,4192,3874,6906,5039,5135.636364
Quick Sort,9000,3494,1879,1857,1951,1711,4895,1861,1724,3634,2279,3116.818182
Quick Sort Optimised,9000,289,183,190,189,172,313,185,173,226,229,1013.545455
Bubble Sort,9000,745550,513272,536222,499393,524258,472122,491067,462311,582238,499819,485022.9091
Bubble Sort Optimised ,9000,678431,530348,508218,503944,469999,505126,555870,466256,638100,511839,488830.0909
Bubble Comb Sort Optimised,9000,3823,2897,2539,2771,2435,2988,2771,2804,2964,2681,3424.818182
Std Sort,9000,11522,8709,6840,7173,6540,7622,7503,7970,7974,7035,7989.818182
Insertion Sort,10000,399574,225309,171031,167221,155589,145947,166242,154320,179991,182491,177974.0909
Insertion Sort Optimised,10000,228429,103655,119440,106097,104918,132258,110863,104527,130076,137317,117052.7273
Shell Sort,10000,2784,1555,2583,1488,1716,1598,1583,1427,1697,1811,2567.454545
Shell Sort Optimised ,10000,3335,1852,2329,1788,2340,1957,1877,1730,2057,2154,2856.272727
Rubix Sort,10000,0,0,0,0,0,0,0,0,0,0,909.0909091
Rubix Sort Optimised ,10000,5863,4458,4455,3201,5643,2939,3067,2832,3348,3515,4483.727273
Bitwise Optimised Rubix Sort,10000,8224,6461,6667,4610,5080,4525,4654,4315,5236,5437,5928.090909
Bitwise Optimised Vector Rubix Sort,10000,8483,8349,6436,5540,5051,4420,4715,4242,5057,5343,6148.727273
Quick Sort,10000,3422,2609,2395,4314,3340,2006,2095,1920,2310,2281,3335.636364
Quick Sort Optimised,10000,286,234,206,404,183,168,175,161,195,191,1109.363636
Bubble Sort,10000,883716,608294,614119,673652,642985,603931,623917,606958,780763,612463,605527.0909
Bubble Sort Optimised ,10000,880213,625792,628557,602763,633644,624331,642149,632310,727949,643298,604636.9091
Bubble Comb Sort Optimised,10000,4506,2997,3131,3664,3177,2880,3023,2909,3972,3246,3955
Std Sort,10000,11628,7697,8106,9357,7899,7310,7610,7267,8672,7997,8503.909091
Insertion Sort,15000,606666,378912,376164,381180,370738,345161,361077,336431,454606,371082,363365.1818
Insertion Sort Optimised,15000,339672,283731,240308,231354,235853,244613,265374,218794,274468,234813,234907.2727
Shell Sort,15000,3301,2960,2295,2204,2407,2723,2401,2650,2552,2199,3699.272727
Shell Sort Optimised ,15000,4461,3678,3518,3489,3277,3542,3659,3492,3401,2965,4589.272727
Rubix Sort,15000,0,0,0,0,1,0,0,0,0,0,1363.727273
Rubix Sort Optimised ,15000,6681,5588,4709,4535,5019,4992,4582,5391,5119,4373,5999
Bitwise Optimised Rubix Sort,15000,9996,8138,7206,6828,7260,8127,7246,7592,7617,6705,8337.727273
Bitwise Optimised Vector Rubix Sort,15000,9914,7541,6875,6645,6901,7711,6878,7368,7688,6651,8106.545455
Quick Sort,15000,5304,3880,3808,3457,3572,4187,3592,4554,3911,3440,4973.181818
Quick Sort Optimised,15000,321,230,222,215,211,248,210,325,229,213,1584
Bubble Sort,15000,2088356,1428923,1456304,1435859,1440502,1394855,1432003,1385759,1719781,1370430,1378888.364
Bubble Sort Optimised ,15000,1943412,1425914,1433563,1406505,1356301,1321502,1386942,1321394,1629253,1313842,1323057.091
Bubble Comb Sort Optimised,15000,7316,5236,5040,4958,7673,4660,4959,4589,6271,4542,6385.818182
Std Sort,15000,17429,11388,12064,12323,13357,11548,12400,11436,15926,11722,13144.81818
Insertion Sort,20000,1126147,644242,645980,690748,643245,615233,640165,599070,795391,621621,640167.4545
Insertion Sort Optimised,20000,595134,517677,421060,458433,415872,396618,442700,400444,518914,388351,415927.5455
Shell Sort,20000,5219,4467,3855,3497,3987,3490,3661,3485,4064,3541,5387.818182
Shell Sort Optimised ,20000,6314,6021,5394,5645,5012,4271,5222,5414,5652,5006,6722.818182
Rubix Sort,20000,0,0,0,0,0,0,0,0,0,0,1818.181818
Rubix Sort Optimised ,20000,8780,7970,6929,6378,8588,6697,6821,5682,7376,8881,8554.727273
Bitwise Optimised Rubix Sort,20000,13532,11284,10350,9940,10681,11702,9701,8866,11492,11181,11702.63636
Bitwise Optimised Vector Rubix Sort,20000,13428,10455,9692,9622,10397,9934,13293,10084,11197,10510,11692
Quick Sort,20000,6664,5473,5032,5190,5006,5014,6843,5598,5334,5125,6843.545455
Quick Sort Optimised,20000,417,329,311,304,317,305,357,377,337,320,2124.909091
Bubble Sort,20000,3595493,2572768,2556123,2635788,2537669,2478765,2562071,2588533,3013473,2387949,2449875.636
Bubble Sort Optimised ,20000,5462712,2600794,2548434,2547698,2451593,2390954,2541053,2394633,3027174,2344779,2575438.545
Bubble Comb Sort Optimised,20000,19948,6533,6415,6500,5962,6468,6567,5917,8457,6004,8979.181818
Std Sort,20000,67601,15852,15759,16843,15451,16477,16835,15279,20503,15437,21457.90909
